"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 31 07:55:27 GMT 2023","Tue Oct 31 07:55:28 GMT 2023","816","Surefire suite","Surefire test","org.alef.education.tests.veterinarians.VeterinariansTest","org.alef.education.tests.veterinarians.VeterinariansTest","findVeterinarians","Find all the Veterinarians which are added in the application",""
"failed","Tue Oct 31 07:55:09 GMT 2023","Tue Oct 31 07:55:12 GMT 2023","2890","Surefire suite","Surefire test","org.alef.education.tests.owners.OwnersTest","org.alef.education.tests.owners.OwnersTest","findOwners","Find all the existing owners which are added in application",""
"failed","Tue Oct 31 07:55:16 GMT 2023","Tue Oct 31 07:55:23 GMT 2023","6700","Surefire suite","Surefire test","org.alef.education.tests.owners.AddNewOwnerTest","org.alef.education.tests.owners.AddNewOwnerTest","verifyNewlyAddedOwnerAndPet","Check all the information added for the newly created owner and pet is correct",""
"passed","Tue Oct 31 07:55:04 GMT 2023","Tue Oct 31 07:55:04 GMT 2023","491","Surefire suite","Surefire test","org.alef.education.tests.home.HomeTest","org.alef.education.tests.home.HomeTest","verifyHomeImage","Verify image on home page is visible",""
