"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 31 08:00:05 GMT 2023","Tue Oct 31 08:00:12 GMT 2023","7239","Surefire suite","Surefire test","org.alef.education.tests.owners.AddNewOwnerTest","org.alef.education.tests.owners.AddNewOwnerTest","verifyNewlyAddedOwnerAndPet","Check all the information added for the newly created owner and pet is correct",""
"failed","Tue Oct 31 07:59:57 GMT 2023","Tue Oct 31 08:00:00 GMT 2023","3149","Surefire suite","Surefire test","org.alef.education.tests.owners.OwnersTest","org.alef.education.tests.owners.OwnersTest","findOwners","Find all the existing owners which are added in application",""
"passed","Tue Oct 31 07:59:52 GMT 2023","Tue Oct 31 07:59:53 GMT 2023","483","Surefire suite","Surefire test","org.alef.education.tests.home.HomeTest","org.alef.education.tests.home.HomeTest","verifyHomeImage","Verify image on home page is visible",""
"passed","Tue Oct 31 08:00:16 GMT 2023","Tue Oct 31 08:00:17 GMT 2023","782","Surefire suite","Surefire test","org.alef.education.tests.veterinarians.VeterinariansTest","org.alef.education.tests.veterinarians.VeterinariansTest","findVeterinarians","Find all the Veterinarians which are added in the application",""
